FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Jonas B. Nielsen	['Oren Rom', 'Ida Surakka', 'Sarah E. Graham', 'Wei Zhou', 'Lars G. Fritsche', 'Sarah A. Gagliano Taliun', 'Carlo Sidore', 'Yuhao Liu', 'Maiken E. Gabrielsen', 'Anne Heidi Skogholt', 'Brooke Wolford', 'William Overton', 'Whitney E. Hornsby', 'Akua Acheampong', 'Austen Grooms', 'Tanmoy Roychowdhury', 'Amanda Schaefer', 'Gregory JM Zajac', 'Luis Villacorta', 'Jifeng Zhang', 'Ben Brumpton', 'Mari Løset', 'Vivek Rai', 'Kent D. Taylor', 'Nicholette D. Palmer', 'Yii-Der Chen', 'Seung Hoan Choi', 'Steven A. Lubitz', 'Patrick T. Ellinor', 'Kathleen C. Barnes', 'Michelle Daya', 'Nicholas Rafaels', 'Scott T. Weiss', 'Jessica Lasky-Su', 'Russell P. Tracy', 'Ramachandran S. Vasan', 'L. Adrienne Cupples', 'Rasika A. Mathias', 'Lisa R. Yanek', 'Lewis C. Becker', 'Patricia A. Peyser', 'Lawrence F. Bielak', 'Jennifer A. Smith', 'Stella Aslibekyan', 'Bertha A. Hildalgo', 'Donna K. Arnett', 'Marguerite R. Irvin', 'James G. Wilson', 'Solomon K. Musani', 'Adolfo Correa', 'Stephen S. Rich', 'Xiuqing Guo', 'Jerome I. Rotter', 'Barbara A. Konkle', 'Jill M. Johnsen', 'Allison E. Ashley-Koch', 'Marilyn J. Telen', 'Vivien A. Sheehan', 'John Blangero', 'Joanne E. Curran', 'Juan M. Peralta', 'Courtney Montgomery', 'Wayne H-H Sheu', 'Ren-Hua Chung', 'Karen Schwander', 'Seyed M. Nouraie', 'Victor R. Gordeuk', 'Yingze Zhang', 'Charles Kooperberg', 'Alexander P. Reiner', 'Rebecca D. Jackson', 'Eugene R. Bleecker', 'Deborah A. Meyers', 'Xingnan Li', 'Sayantan Das', 'Ketian Yu', 'Jonathon LeFaive', 'Albert Smith', 'Tom Blackwell', 'Daniel Taliun', 'Sebastian Zollner', 'Lukas Forer', 'Sebastian Schoenherr', 'Christian Fuchsberger', 'Anita Pandit', 'Matthew Zawistowski', 'Sachin Kheterpal', 'Chad M. Brummett', 'Pradeep Natarajan', 'David Schlessinger', 'Seunggeun Lee', 'Hyun Min Kang', 'Francesco Cucca', 'Oddgeir L. Holmen', 'Bjørn O. Åsvold', 'Michael Boehnke', 'Sekar Kathiresan', 'Goncalo Abecasis', 'Y. Eugene Chen', 'Cristen J. Willer', 'Kristian Hveem']	male	0	2019-04-02	Loss-of-function genomic variants with impact on liver-related blood traits highlight potential therapeutic targets for cardiovascular disease	Genomics
David Peris	['Ryan V. Moriarty', 'William G. Alexander', 'Russell L. Wrobel', 'Chris Todd Hittinger']	male	0	2019-04-02	Allododecaploid yeasts: synthetic hybrids of six species	Genetics
Albert T. Young	['Xavier Carette', 'Michaela Helmel', 'Hanno Steen', 'Robert N Husson', 'John Quackenbush', 'John Platig']	male	0	2019-04-02	Multi-omic regulatory networks capture downstream effects of kinase inhibition in Mycobacterium tuberculosis	Systems
Ian Towle	['Joel D. Irish', 'Isabelle De Groote', 'Christianne Fernée']	male	0	2019-04-02	Dental caries in human evolution: frequency of carious lesions in South African fossil hominins	Paleontology
Dina V. Popovkina	['Anitha Pasupathy']	female	1	2019-04-02	Task context modulates feature-selective responses in area V4	Neuroscience
Daniel Marquina	['Rodrigo Esparza-Salas', 'Tomas Roslin', 'Fredrik Ronquist']	ambiguous	1	2019-04-02	Establishing insect community composition using metabarcoding of soil samples, and preservative ethanol and homogenate from Malaise trap catches: surprising inconsistencies between methods	Ecology
Yanru Ren	['Lei Zhang', 'Wenfeng Duan', 'Jia Guo', 'Zhongqiang Han', 'Michael D. Heydenrych', 'Aijun Zhang', 'Kaili Nie', 'Tianwei Tan', 'Luo Liu']	unknown	0	2019-04-02	Performance of bitumen coating sheet using biomass pyrolysis oil	Bioengineering
Wei Cheng	['Sohini Ramachandran', 'Lorin Crawford']	ambiguous	1	2019-04-02	Epsilon-Genic Effects Bridge the Gap Between Polygenic and Omnigenic Complex Traits	Genetics
Tandrika Chattopadhyay	['Babukrishna Maniyadath', 'Hema P Bagul', 'Arindam Chakraborty', 'Namrata Shukla', 'Srikanth Budnar', 'Ullas Kolthur-Seetharam']	unknown	0	2019-04-02	Temporal gating of SIRT1 functions by O-GlcNAcylation prevents hyperglycemia and enables physiological transitions in liver	Physiology
Ewoud R.E. Schmidt	['Justine V. Kupferman', 'Michelle Stackmann', 'Franck Polleux']	male	0	2019-04-02	The human-specific paralogs SRGAP2B and SRGAP2C differentially modulate SRGAP2A-dependent synaptic development	Neuroscience
